cluster,lat,lon,importance,duration,cluster_size,,
1,32.66013129,51.6768675,1.3,600,2170,,
1,32.660055,51.676641,1.3,2700,2170,,
1,32.660398,51.67679,1.3,600,2170,,
1,32.660419,51.677123,1.3,2700,2170,,
59,32.660292,51.677703,0,0,8,,
38,32.659871,51.677629,0,0,23,,
39,32.659989,51.677345,0,300,16,,
8,32.659381,51.677941,0,300,413,,
8,32.659138,51.67792,0,300,413,,
8,32.6589684,51.67780328,0,300,413,,
8,32.659289,51.678368,1.3,900,413,,
8,32.659049,51.678108,0,300,413,,
2,32.6593,51.67709,0,300,115,,
2,32.659515,51.677048,0,0,115,,
2,32.659536,51.676783,0,0,115,,
28,32.65908,51.677339,0,300,130,,
28,32.659039,51.677124,0,0,130,,
28,32.658755,51.677206,0,0,130,,
60,32.658625,51.677938,0,300,12,,
34,32.658458,51.678193,0,300,49,,
34,32.658212,51.678225,0,0,49,,
44,32.657815,51.678071,0,0,43,,
9,32.65782042,51.6782284,0,300,46,,
10,32.657567,51.67871,2,300,826,,
10,32.657494,51.678407,2,300,826,,
10,32.657274,51.678297,2,300,826,,
10,32.657347,51.678688,2,300,826,,
10,32.657462,51.67814,2,0,826,,
24,32.657474,51.677325,0,300,337,,
24,32.656793,51.677807,0,0,337,,
24,32.65766,51.677506,0,0,337,,
24,32.656633,51.677703,0,0,337,,
21,32.656699,51.678458,0,0,42,,
45,32.656558,51.678342,0,0,26,,
45,32.6563365,51.6783195,0,0,26,,
22,32.655753,51.678677,0,0,74,,
12,32.6551826,51.677952,1.9,300,814,,
12,32.65521,51.677506,1.9,300,814,,
12,32.655387,51.678171,1.9,300,814,,
12,32.655,51.6771,1.9,300,814,,
12,32.655702,51.678072,0,0,814,,
13,32.654973,51.678211,1.9,300,131,,
13,32.65497,51.67844,0,0,131,,
13,32.65472,51.67829,1.9,0,131,,
14,32.65459599,51.67776451,1.9,600,474,,
14,32.6544146,51.678174,1.9,300,474,,
14,32.65457,51.67744,0,300,474,,
14,32.6543626,51.677951,1.9,0,474,,
14,32.654376,51.677262,0,0,474,,
23,32.655503,51.677195,0,300,63,,
23,32.655779,51.677294,0,0,63,,
23,32.65587925,51.67751325,0,0,63,,
6,32.657261,51.67674,1.8,300,1071,,
6,32.656905,51.676791,1.8,600,1071,,
6,32.65712864,51.67654792,1.8,600,1071,,
6,32.656682,51.67683,0,300,1071,,
6,32.65699,51.676981,1.8,0,1071,,
16,32.65633155,51.67713094,0,300,141,,
46,32.656483,51.677325,0,0,8,,
15,32.65623408,51.67772954,0,300,44,,
50,32.65647408,51.67769454,0,0,4,,
25,32.657899,51.6775375,0,300,54,,
26,32.658263,51.677317,0,300,96,,
26,32.658487,51.67727,0,0,96,,
26,32.658357,51.677098,0,0,96,,
47,32.658623,51.676923,0,900,16,,
4,32.658791,51.676301,1.1,300,193,,
4,32.659175,51.676312,1.1,300,193,,
4,32.658678,51.676739,0,300,193,,
4,32.658795,51.676525,0,0,193,,
4,32.658837,51.676094,1.1,0,193,,
29,32.658617,51.675869,0,0,41,,
35,32.658923,51.676851,0,0,16,,
30,32.658642,51.675451,1.1,0,100,,
30,32.658838,51.67567,1.1,0,100,,
48,32.659091,51.676028,0,0,16,,
3,32.65962455,51.67649828,0,300,272,,
3,32.659508,51.676207,0,300,272,,
3,32.659292,51.676199,1.1,0,272,,
31,32.658539,51.676285,0,0,23,,
63,32.660072,51.676489,1.3,0,4,,
43,32.659776,51.676569,0,0,8,,
53,32.659937,51.676118,0,300,32,,
0,32.66057,51.677253,1.3,900,132,,
20,32.660863,51.676632,0,0,42,,
57,32.660245,51.677367,0,0,6,,
7,32.656369,51.676802,0,0,32,,
74,32.659022,51.67545,0,300,6,,
32,32.658251,51.676491,0,0,22,,
56,32.657951,51.676604,0,300,38,,
33,32.657647,51.676615,0,0,32,,
11,32.65563917,51.67845539,0,0,34,,
71,32.656003,51.677806,0,0,3,,
18,32.6596962,51.67687305,0,0,34,,
19,32.66029797,51.67642833,0,300,34,,
52,32.66065285,51.67593655,0,0,4,,
27,32.658733,51.677342,0,600,4,,
69,32.660605,51.676555,0,0,4,,
40,32.659809,51.677255,0,600,4,,
-1,32.659465,51.678416,0,0,4,,
-1,32.660903,51.676869,0,0,18,,
-1,32.65424,51.67825,0,0,3,,
-1,32.655593,51.678837,0,0,3,,
-1,32.657209,51.67892,0,0,3,,
-1,32.660923,51.67586,0,0,6,,
-1,32.658817,51.675379,0,0,4,,
-1,32.655848,51.678889,0,0,4,,
-1,32.65722,51.677447,0,0,4,,
,,,,,,,
