cluster,lat,lon,importance,duration,cluster_size,,
21,32.659157,51.677993,0,300,120,,
21,32.659139,51.678235,0,300,120,,
21,32.658946,51.678064,0,0,120,,
61,32.658507,51.678157,0,0,4,,
22,32.658387,51.677716,0,300,68,,
65,32.658787,51.677904,0,0,4,,
23,32.657883,51.678053,0,300,54,,
7,32.657471,51.678376,2,300,1519,,
7,32.657261,51.678378,2,300,1519,,
7,32.657396,51.678757,2,600,1519,,
70,32.65795,51.6783,0,0,8,,
24,32.656201,51.677816,0,0,85,,
24,32.656021,51.677727,0,300,85,,
3,32.655439,51.678054,0,300,610,,
3,32.655119,51.677573,1.9,600,610,,
3,32.655706,51.677847,0,300,610,,
3,32.655136,51.677319,1.9,600,610,,
3,32.655449,51.677553,0,300,610,,
5,32.65495,51.6784,1.9,300,177,,
5,32.654828,51.678081,1.9,300,177,,
5,32.65495,51.6787,0,0,177,,
5,32.65463,51.67819,1,300,177,,
25,32.65437,51.677965,0,300,89,,
25,32.654356,51.677721,1.9,0,89,,
62,32.65477,51.67774,1.9,0,4,,
4,32.654528,51.677281,1.9,300,143,,
4,32.65467,51.67759,1.9,300,143,,
4,32.654356,51.6776,1.9,600,143,,
26,32.65476,51.67695,1.9,300,73,,
26,32.65486,51.67715,0,300,73,,
36,32.65456,51.67716,0,0,14,,
27,32.656425,51.677148,0,0,39,,
1,32.655882,51.677032,0,300,55,,
17,32.655569,51.676992,0,300,56,,
10,32.656946,51.676717,1.8,600,1198,,
10,32.657132,51.676689,1.8,300,1198,,
10,32.657433,51.676877,1.8,300,1198,,
10,32.657238,51.676472,1.8,300,1198,,
10,32.657246,51.676924,1.8,300,1198,,
9,32.657282,51.677196,0,300,90,,
9,32.657135,51.677379,0,300,90,,
28,32.658522,51.676437,1.1,300,41,,
28,32.658423,51.676694,0,0,41,,
12,32.658055,51.676604,0,300,128,,
13,32.658733,51.676248,1.1,300,934,,
13,32.658702,51.676495,1.1,300,934,,
13,32.65945,51.676173,0,300,934,,
13,32.658599,51.675928,1.1,600,934,,
13,32.659036,51.676272,0,300,934,,
64,32.658863,51.676679,0,0,4,,
14,32.66015,51.676995,0,600,1516,,
14,32.660432,51.676857,1.3,300,1516,,
14,32.660051,51.6767,1.3,300,1516,,
14,32.660666,51.676946,0,0,1516,,
14,32.660129,51.676508,1.3,2700,1516,,
34,32.659918,51.676913,0,0,15,,
72,32.660292,51.677703,0,0,4,,
8,32.657778,51.677534,0,300,169,,
8,32.657676,51.677184,0,0,169,,
8,32.657656,51.677692,0,0,169,,
11,32.65777,51.676836,0,300,136,,
33,32.657542,51.677288,0,300,35,,
18,32.656566,51.677682,0,300,34,,
0,32.656376,51.676842,0,300,77,,
48,32.659921,51.677363,0,300,6,,
66,32.659281,51.675885,0,0,10,,
20,32.659446,51.676927,0,300,47,,
20,32.659632,51.676903,0,0,47,,
16,32.659034,51.677103,0,0,42,,", "
15,32.658245,51.677332,0,300,40,,
6,32.656626,51.677852,0,0,8,,
30,32.656792,51.678477,0,0,37,,
50,32.656218,51.678621,0,0,28,,
32,32.655745,51.67876,0,0,37,,
71,32.658743,51.676768,0,0,4,,
38,32.659731,51.676426,0,0,6,,
40,32.656081,51.677606,0,600,6,,
-1,32.660238,51.67579,0,0,8,,
-1,32.65412,51.67785,1.9,0,6,,
-1,32.65418,51.67773,0,0,4,,
-1,32.657767,51.678623,0,0,8,,
-1,32.657269,51.67745,0,0,6,,
-1,32.654656,51.6788,0,0,12,,
